3199991999919991999999919222421210203052923020304113211990750 1993002079070250 1100007870249154943000011110020021
3199991999919991999999919221111211205021223020304114211991000 2153103079040333 10900105102543138431000....0020021
3199991999919991999999919222111211205021221010304116211990600 2153103079050600 10500177101723304331000....0020021
3188888888888888888888888888488803801022986030304118881990675 2998013079070112 8050021350135940798000011111020024
3199991999919888888999199821281210205061223020304111211990900 1153103079050300 80600303301909434631000....0020021
3199991999919991999999919222222206201022924030304112213109999 2990402119079999 10300342501647327104000....0020021
3199991999919991999999919222221211205041224030304112211990900 1153003079060225 10900367001549444830000....0020021
3199991999919991999999919222484206201022925040304113213039999 2990405119079999 10900431501285984704000....0020021
3199991999919991999999919222423211204052923020304111213049999 1150402119079999 10500455001892011404000....0020021
3199991999919991999999919212428810805071884030304118883129999 1990402119079999 1050053760221063680400011111020021
3199991999919991999999919221112210206051224030304211211990495 2120503069030123 10500563802206247805000....0020021
3199991999919991999999919222421207203032921011904112211990500 2993008071080500 10300610001765506730000....0020021
3199991999919991999999919223333210204982935040304115213049999 2990402119089999 10200654201723304304011....0020021
3199991999919991999999919222425206203042924030304112213039999 2990405119099999 10300670701858203304000....0020021
3199991999919991999999919222221211205021222020304111211990675 1153002079070337 10500695301892011430000....0020021
3199991999919991999999919222221211205061222010304113213069999 1150402119069999 10700735301904876904000....0020021
3199991999919991999999919222414203101032924030304116211990850 2158013079070212 10500973901832696680000....0020021
3199991919199991999999919212423209204022923021919116213049999 2130402119089999 10200978800166091504000....0020024
3199991999919919999991999322481210204062926040304116213109999 1150402119089999 10201027601723304304000....0020021
3199991999919991999199999311411210204032925040304116213109999 2130402119089999 10101070600149472804000....0020021
3199991919999991999999919212425107203032926040304184383039999 2130401119069999 10101084800166091504000....0020023
3199991999919991999999919222422209804062926050304115213049999 2130402119089999 10201090100166091504000....0020024
3199991999919991999999919223333210204982935040304115213049999 2990402119089999 10201231401723304304011....0020021
3199991999919919999999919212424210204022923020304112213049999 1990402119089999 10201256601897523704000....0020023
3199991999919991999999919122225210205061224030304113213039999 1200402119079999 20301261401982748004000....0020021
3199991999919991999999919212421210804042924030319115213049999 2130402119079999 10201323400166091504000....0020023
3199991999919991999999919881415805801022984030304218881990700 2998012079080175 8090134870175811728000011111020021
3199991999919991999199999311411210804032925040304116213109999 2130402119089999 10101356400149472804000....0020021
3199991999919991999999919222414205202022928090304112211990900 2998012079080100 10501406401951145480000....0020021
3199991999919991999999919221114211305021883020304118213039999 2150402119079999 1010143310170334470400011111020021
3199991999919991999999991221415203202032926040304215113029999 2990413119039999 10901472801921046704000....0020021
3199991999919199999999199111412209204022924030304116213049999 2130402119089999 20101510500196180504000....0020021
3199991999919991999999919223333210204982935040304115213049999 2990402119089999 10201602701723304304011....0020021
3199991919999999991999991312322201201022926040304116113069999 2990413119099999 11001681901763958404000....0020021
3199991999919991999999919212221210204042923020304114213049999 2130402119089999 10201777800166091504000....0020024
3199991999919991999999919212428209204062924030304118413069999 2130402119069999 1020188120016609150400011..0020024
3199991999919991999999919222421210204032925040304116213049999 2130402119089999 10101967400166091504000....0020021
3199991999919991999999919222225203201032926050304113112999999 2990313059069999 10701970601891428103000....0020021
3199991999919991999991999322421210204062925030304116211990700 1153002079080140 10201998201723304330000....0020021
3199991999919991999999919222421210204052923020304111213049999 1150402119079999 1020206590218461510400011..0020021
3199991999919991999999919221111212207021115040304134132999999 2088603059049999 10902215702034293686000....0020021
3199991919199991999999919212422209204032925040304116213049999 2130402119089999 10202241300166091504000....0020024
3199991999919991999999919222121310205041224030304116443049999 2130402119089999 10202258500166091504000....0020021
3199991999919888888999919222221211204061223020304112213039999 1150402119079999 10602364001700334704000....0020021
3199991999919991999999919222425206203012923020304112213039999 2990405119099999 10302546701647327104000....0020021
3199991999919991999999919222421208204062923020304112211990750 1153002079070250 10902549601723304330000....0020021
3199991999919991999999919222428210204052923020304116211990450 2993012079070150 10102553101896776930000....0020021
3199991999919991999999919281111212205041113020304112211990475 1153002079070158 10402600902009591430000....0020021
3199991999919991999999919222421210202021223020304112211990800 2153003079060266 10902686902261807730000....0020021
3199991999919991999999919221411211204042923020304113211990750 1153002079070250 10202843302352908830000....0020021
