file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	Unknown	No	1 to 2 months	013531660	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	5 bedrooms	7 rooms	3 units	Not applicable	There is a legal dispute involving the unit	358161	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	3 to 6 months	019281365	0266	01600	Other rental	4 bedrooms	6 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	749242	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Not Reported	No	No	1 year or more	023498963	0325	01300	Other rental	2 bedrooms	4 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	232318	Don't know	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	018187041	0320	01600	Other rental	3 bedrooms	5 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	706712	Don't know	Available for rent	01	For rent (old construction)	Real estate agent/broker
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	039171	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	708878	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	017327374	0327	01638	Stabilized pre 1947	3 bedrooms	5 rooms	20 to 49 units	J-51	Not applicable (available for rent or available for sale only)	630016	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	2 to 3 months	018935812	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	J-51	Unit or building is awaiting renovation	255635	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	20 to 49 units	Public Housing	Unit or building is awaiting renovation	224415	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	018935812	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	3 units	Not applicable	Unit or building is undergoing renovation	451549	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	019544259	0500	01500	HUD regulated	1 bedrooms	3 rooms	20 to 49 units	HUD regulated	Not applicable (available for rent or available for sale only)	049353	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	017327374	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	HUD regulated	Unit or building is awaiting renovation	490130	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Unit or building is undergoing renovation	420019	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	757922	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	024278709	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	50 to 99 units	Mitchell Lama City/Rental	Unit or building is awaiting renovation	405097	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	017327374	0375	01500	Stabilized pre 1947	2 bedrooms	4 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	414180	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	019974612	0333	01000	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	368502	Owner occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	014862625	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	848057	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	021695080	0280	01400	Other rental	3 bedrooms	5 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	066484	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	018187041	0300	01500	Stabilized pre 1947	3 bedrooms	5 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	417466	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	021604335	0350	01400	Stabilized pre 1947	2 bedrooms	4 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	439392	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	022559005	0300	00900	Other rental	1 bedrooms	3 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	951530	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	016155228	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	044395	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Not Reported	No	No	2 to 3 months	019974612	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-conventional	3 bedrooms	6 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	907099	Renter occupied	Available for sale only	02	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	021604335	0100	00300	HUD regulated	1 bedrooms	3 rooms	50 to 99 units	HUD regulated	Not applicable (available for rent or available for sale only)	110241	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	018187041	0300	00900	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	535580	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	021695080	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	3 units	421-A	Held for other reasons	439105	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	014862625	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	HUD regulated	Unit or building is undergoing renovation	279920	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Not reported	Not reported	Less than 1 month	014862625	0362	01450	Other rental	2 bedrooms	4 rooms	5 units	Not applicable	Not applicable (available for rent or available for sale only)	243211	Not reported	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	3 units	Not applicable	Unit or building is undergoing renovation	434879	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	017068640	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	796548	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	014862625	0250	01500	Other rental	4 bedrooms	6 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	944484	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Unknown	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	10 to 12 units	Not applicable	There is a legal dispute involving the unit	277022	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	019974612	0475	01426	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	714711	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	019974612	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	192081	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	018187041	0333	01000	Stabilized post 1947	1 bedrooms	3 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	313594	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	019974612	0095	00285	Public housing	1 bedrooms	3 rooms	100 units or more	Public Housing	Not applicable (available for rent or available for sale only)	878372	Renter occupied	Available for rent	02	Public housing	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	014862625	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	534295	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	014862625	0325	00975	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	175447	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	6 to 12 months	016930996	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-private coop	1 bedrooms	3 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	674839	Owner occupied	Available for sale only	03	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	Less than 1 month	018934403	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Held for occasional use, seasonal or recreational use	881153	Owner occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	2 to 3 months	016930996	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Held for occasional use, seasonal or recreational use	431320	Owner occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	017323977	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	909555	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	020434653	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	607854	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	016913676	0250	00750	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	191145	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	018934403	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	50 to 99 units	Not applicable	Rented, not yet occupied	474715	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	021755028	0233	00700	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	299299	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	018934403	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	191251	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	735152	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	015347103	0775	00775	Stabilized pre 1947	No bedroom	1 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	905001	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	021716421	0350	01400	Other rental	2 bedrooms	4 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	357587	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	013861899	0600	01200	HUD regulated	1 bedrooms	2 rooms	50 to 99 units	HUD regulated	Not applicable (available for rent or available for sale only)	574611	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	013861899	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	10 to 12 units	Not applicable	Unit or building is undergoing renovation	173468	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	Yes, a cooperative	Yes, a cooperative	Less than 1 month	015347103	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-private coop	2 bedrooms	4 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	310204	Owner occupied	Available for sale only	04	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	021716421	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	831301	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	020690923	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	190322	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	020656948	0337	01350	Stabilized post 1947	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	379693	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	020434653	0334	01002	Stabilized post 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	365772	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	017310387	0300	00900	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	526013	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	3 to 6 months	018187041	0200	00800	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	554071	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	1 year or more	026373283	0200	00800	Other rental	2 bedrooms	4 rooms	100 units or more	J-51	Not applicable (available for rent or available for sale only)	530678	Don't know	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	2 to 3 months	024080832	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	50 to 99 units	J-51	Rented, not yet occupied	423069	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	021721829	0308	00925	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	218049	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Don't know	3 to 6 months	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	481887	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	018810394	0333	01000	Mitchell Lama rental	1 bedrooms	3 rooms	100 units or more	Mitchell Lama City/Rental	Not applicable (available for rent or available for sale only)	111760	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	024784940	0300	01200	Stabilized post 1947	2 bedrooms	4 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	696318	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	1 to 2 months	018334935	0337	01350	Stabilized pre 1947	2 bedrooms	4 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	509679	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	019111074	0280	01400	Other rental	3 bedrooms	5 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	101217	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	012992751	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	13 to 19 units	Not applicable	Unit or building is awaiting renovation	047679	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	019777752	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	50 to 99 units	Not applicable	Unit or building is undergoing renovation	231492	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	024784940	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	50 to 99 units	Not applicable	There is a legal dispute involving the unit	435830	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	017984527	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Not applicable	There is a legal dispute involving the unit	722096	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	018187041	0383	01150	Stabilized post 1947	1 bedrooms	3 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	657341	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	024080832	0925	00925	Stabilized post 1947	No bedroom	1 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	108717	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	017984527	0362	01812	Stabilized pre 1947	3 bedrooms	5 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	515280	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	024784940	0350	01050	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	010051	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	024846713	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Held for occasional use, seasonal or recreational use	434896	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	017984527	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	731937	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	018334935	0412	00825	Stabilized pre 1947	1 bedrooms	2 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	246809	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	018334935	0300	00900	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	190126	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	019777752	0300	00900	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	972114	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	016930996	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	5 bedrooms	8 rooms or more	1 unit without business	Not applicable	Held for occasional use, seasonal or recreational use	020724	Owner occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	6 to 12 months	026373283	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Sold, not yet occupied	271453	Owner occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	024278709	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	159253	Never previously occupied	Not available for rent or sale	06	Not available	Superintendent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	2 to 3 months	016930996	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Held for occasional use, seasonal or recreational use	315523	Owner occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	1 year or more	021077538	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	100 units or more	J-51	Held for occasional use, seasonal or recreational use	395737	Owner occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	1 year or more	016781578	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	2 bedrooms	4 rooms	20 to 49 units	421-A	Not applicable (available for rent or available for sale only)	079026	Never previously occupied	Available for sale only	06	For sale	Superintendent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	1 year or more	024268516	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	1 bedrooms	3 rooms	50 to 99 units	421-A	Not applicable (available for rent or available for sale only)	272945	Never previously occupied	Available for sale only	06	For sale	Superintendent
