file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 to 2 months	020876110	0300	01200	Other rental	2 bedrooms	4 rooms	2 units with business	Not applicable	Not applicable (available for rent or available for sale only)	483761	Renter occupied	Available for rent	12	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 to 2 months	020876110	0300	01200	Other rental	2 bedrooms	4 rooms	2 units with business	Not applicable	Not applicable (available for rent or available for sale only)	117221	Renter occupied	Available for rent	12	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	021018887	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-conventional	1 bedrooms	2 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	734747	Owner occupied	Available for sale only	12	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	Yes, a cooperative	Yes, a cooperative	1 year or more	020876110	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	50 to 99 units	J-51	Held for occasional use, seasonal or recreational use	554639	Owner occupied	Not available for rent or sale	14	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	021048853	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	2 units without business	Not applicable	Held for occasional use, seasonal or recreational use	647060	Owner occupied	Not available for rent or sale	15	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	021048853	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	1 unit with business	Not applicable	Unit or building is awaiting renovation	225980	Never previously occupied	Not available for rent or sale	16	Not available	Superintendent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	Not reported	020876110	0250	01250	Other rental	2 bedrooms	5 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	477915	Renter occupied	Available for rent	17	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	Unknown	Don't know	6 to 12 months	021048853	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	652901	Never previously occupied	Not available for rent or sale	17	Not available	Superintendent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	2 to 3 months	020876110	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	2 units without business	Not applicable	Held for other reasons	265613	Renter occupied	Not available for rent or sale	17	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	021048853	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	2 units without business	Not applicable	Held for occasional use, seasonal or recreational use	003304	Renter occupied	Not available for rent or sale	18	Not available	Rental office/agent
