file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Monthly Contract Rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Sequence Number (Household)	Sub-borough Area	Tenure (1)	Tenure (2)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	3 bedrooms	5	5 units	421-A	699994	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	2 bedrooms	4	4 units	421-A	801672	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	3 bedrooms	5	4 units	421-A	379564	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	3 bedrooms	5	5 units	421-A	255924	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01200	Other rental	2 bedrooms	4	2 units without business	Not applicable	583712	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Other rental	2 bedrooms	4	2 units without business	Not applicable	516048	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	2 bedrooms	5	2 units without business	Not applicable	727428	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01200	Other rental	1 bedrooms	2	2 units without business	Not applicable	366414	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	2 bedrooms	5	20 to 49 units	Not applicable	954931	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	3 bedrooms	5	10 to 12 units	Not applicable	901123	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	3 bedrooms	5	13 to 19 units	Not applicable	798411	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	3 bedrooms	5	10 to 12 units	Not applicable	812919	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	2 bedrooms	5	3 units	J-51	844350	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	5 bedrooms	8	1 unit without business	Not applicable	720379	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01300	Other rental	2 bedrooms	4	3 units	Not applicable	358908	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	2 bedrooms	4	2 units without business	Not applicable	550535	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	Other rental	2 bedrooms	3	2 units with business	Not applicable	729540	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	Other rental	3 bedrooms	5	3 units	Not applicable	495701	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01400	Other rental	2 bedrooms	4	2 units without business	Not applicable	386367	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00500	Other rental	3 bedrooms	5	4 units	Not applicable	776851	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Other rental	3 bedrooms	5	3 units	Not applicable	951314	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	2 bedrooms	4	3 units	J-51	123256	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	01225	Other rental	2 bedrooms	4	3 units	J-51	233437	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	01600	Other rental	3 bedrooms	5	3 units	J-51	965207	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	3 bedrooms	5	3 units	Not applicable	001514	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01550	Other rental	3 bedrooms	5	3 units	Not applicable	177940	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00500	Stabilized pre 1947	2 bedrooms	4	20 to 49 units	Not applicable	206910	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01100	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	590025	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00971	Stabilized post 1947	3 bedrooms	5	6 to 9 units	Not applicable	138769	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01200	Stabilized post 1947	1 bedrooms	3	6 to 9 units	Not applicable	912980	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	Stabilized post 1947	3 bedrooms	5	20 to 49 units	Not applicable	214583	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01600	Other rental	3 bedrooms	5	6 to 9 units	Not applicable	421368	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01444	Other rental	2 bedrooms	4	2 units without business	Not applicable	507082	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	02700	Other rental	3 bedrooms	6	2 units without business	Not applicable	239668	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00750	Stabilized pre 1947	No bedroom	1	6 to 9 units	Not applicable	513341	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01200	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	J-51	149499	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00998	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	J-51	988321	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Stabilized pre 1947	4 bedrooms	6	10 to 12 units	Not applicable	925032	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Stabilized pre 1947	2 bedrooms	4	20 to 49 units	J-51	673160	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	01085	Other rental	1 bedrooms	3	20 to 49 units	J-51	709555	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	01250	Other rental	1 bedrooms	3	20 to 49 units	J-51	223568	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	529618	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00648	Public housing	4 bedrooms	6	100 units or more	Public Housing	147555	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00449	Public housing	2 bedrooms	4	100 units or more	Public Housing	984083	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00602	Public housing	2 bedrooms	4	100 units or more	Public Housing	049018	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01070	Stabilized pre 1947	4 bedrooms	6	50 to 99 units	J-51	092965	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Stabilized pre 1947	1 bedrooms	3	50 to 99 units	J-51	208142	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01270	Stabilized pre 1947	2 bedrooms	4	50 to 99 units	J-51	372298	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01058	Stabilized pre 1947	1 bedrooms	3	50 to 99 units	J-51	792952	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Other rental	2 bedrooms	4	4 units	Not applicable	458105	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00600	Other rental	1 bedrooms	2	4 units	Not applicable	815307	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01681	Stabilized pre 1947	3 bedrooms	5	6 to 9 units	Not applicable	091895	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00970	Other rental	1 bedrooms	3	4 units	Not applicable	257279	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00203	Public housing	1 bedrooms	3	20 to 49 units	Public Housing	174707	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00277	Public housing	4 bedrooms	6	20 to 49 units	Public Housing	935626	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00277	Public housing	3 bedrooms	5	20 to 49 units	Public Housing	229000	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00400	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	404216	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	00600	Stabilized pre 1947	1 bedrooms	3	50 to 99 units	Not applicable	090153	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00400	Stabilized pre 1947	1 bedrooms	3	50 to 99 units	Not applicable	444277	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00600	Stabilized pre 1947	2 bedrooms	4	50 to 99 units	Not applicable	811135	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01070	Stabilized pre 1947	No bedroom	1	10 to 12 units	Not applicable	021068	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00725	Stabilized pre 1947	No bedroom	1	20 to 49 units	Not applicable	166315	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00710	Stabilized pre 1947	No bedroom	1	20 to 49 units	Not applicable	708456	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00660	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	351150	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00864	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	025830	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01080	Stabilized pre 1947	2 bedrooms	4	20 to 49 units	Not applicable	513616	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00650	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	560584	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Other rental	3 bedrooms	5	3 units	Not applicable	273770	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	Other rental	3 bedrooms	5	3 units	Not applicable	005808	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	Other rental	3 bedrooms	4	3 units	Not applicable	441734	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Deteriorating	No	01000	Other rental	3 bedrooms	5	5 units	Not applicable	239794	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	1 bedrooms	3	13 to 19 units	J-51	491668	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	2 bedrooms	4	13 to 19 units	J-51	736178	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	00637	Stabilized pre 1947	4 bedrooms	6	50 to 99 units	J-51	066868	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	3 bedrooms	5	50 to 99 units	J-51	711877	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01087	Stabilized post 1947	2 bedrooms	4	100 units or more	Not applicable	852424	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00979	Stabilized post 1947	2 bedrooms	4	100 units or more	Not applicable	461543	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01468	Stabilized post 1947	2 bedrooms	4	100 units or more	Not applicable	047234	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00950	Stabilized post 1947	2 bedrooms	4	100 units or more	Not applicable	220232	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00277	Public housing	1 bedrooms	2	20 to 49 units	Public Housing	127585	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00449	Public housing	1 bedrooms	3	20 to 49 units	Public Housing	136664	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00260	Public housing	1 bedrooms	3	20 to 49 units	Public Housing	999739	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00665	Public housing	3 bedrooms	5	20 to 49 units	Public Housing	123513	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Other rental	3 bedrooms	5	3 units	Not applicable	566161	01	N/A (renter)	Occupy rent free
lng11_occ11_web.dat	2011	Bronx	Sound	No	00700	Other rental	No bedroom	1	3 units	Not applicable	157274	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00800	Other rental	3 bedrooms	5	3 units	Not applicable	305258	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00980	Stabilized pre 1947	4 bedrooms	6	50 to 99 units	J-51	789263	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01482	Stabilized pre 1947	3 bedrooms	5	20 to 49 units	J-51	074669	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	Stabilized pre 1947	4 bedrooms	6	50 to 99 units	J-51	756942	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00975	Stabilized pre 1947	1 bedrooms	3	50 to 99 units	J-51	384560	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	02500	Other rental	2 bedrooms	3	13 to 19 units	Not applicable	004357	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00962	Stabilized pre 1947	2 bedrooms	4	13 to 19 units	Not applicable	857786	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00968	Stabilized pre 1947	2 bedrooms	4	13 to 19 units	Not applicable	728057	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01100	Stabilized pre 1947	2 bedrooms	4	13 to 19 units	Not applicable	583119	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	3 bedrooms	5	2 units without business	Not applicable	692668	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01283	Other rental	2 bedrooms	4	2 units without business	Not applicable	231943	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	3 bedrooms	5	2 units without business	Not applicable	627634	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	3 bedrooms	5	1 unit with business	Not applicable	524647	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	00502	Public housing	2 bedrooms	4	6 to 9 units	Public Housing	857592	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00433	Public housing	2 bedrooms	4	6 to 9 units	Public Housing	261363	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Public housing	2 bedrooms	4	6 to 9 units	Public Housing	548132	01	N/A (renter)	Occupy rent free
lng11_occ11_web.dat	2011	Bronx	Sound	No	00165	Public housing	2 bedrooms	4	6 to 9 units	Public Housing	839314	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	793914	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00800	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	826391	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00825	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	285625	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01590	Stabilized pre 1947	3 bedrooms	5	20 to 49 units	Not applicable	338435	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01340	Stabilized pre 1947	2 bedrooms	4	50 to 99 units	Not applicable	046402	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00940	Stabilized pre 1947	2 bedrooms	4	50 to 99 units	Not applicable	801201	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01089	Stabilized pre 1947	3 bedrooms	4	50 to 99 units	Not applicable	186886	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00760	Stabilized pre 1947	2 bedrooms	4	50 to 99 units	Not applicable	893425	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00223	Public housing	1 bedrooms	3	100 units or more	Public Housing	812188	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00420	Public housing	3 bedrooms	5	100 units or more	Public Housing	632187	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00487	Public housing	1 bedrooms	4	100 units or more	Public Housing	383577	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00260	Public housing	2 bedrooms	4	50 to 99 units	Public Housing	303764	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00610	Public housing	1 bedrooms	3	100 units or more	Public Housing	038106	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00385	Public housing	2 bedrooms	4	100 units or more	Public Housing	720744	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00218	Public housing	2 bedrooms	4	100 units or more	Public Housing	490180	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00218	Public housing	3 bedrooms	5	100 units or more	Public Housing	297019	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00800	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	756991	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00823	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	860598	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00875	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	323298	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Stabilized pre 1947	1 bedrooms	3	6 to 9 units	Not applicable	204364	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00827	Stabilized pre 1947	2 bedrooms	4	20 to 49 units	Not applicable	082237	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00615	Stabilized pre 1947	2 bedrooms	4	20 to 49 units	Not applicable	128811	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00718	Stabilized pre 1947	2 bedrooms	4	20 to 49 units	Not applicable	868891	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00688	Stabilized pre 1947	2 bedrooms	4	20 to 49 units	Not applicable	330757	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00850	Stabilized post 1947	2 bedrooms	4	50 to 99 units	Not applicable	337846	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00693	Stabilized post 1947	1 bedrooms	3	50 to 99 units	Not applicable	156410	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00818	Stabilized post 1947	2 bedrooms	4	50 to 99 units	Not applicable	228376	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00708	Stabilized post 1947	1 bedrooms	3	50 to 99 units	Not applicable	314001	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01170	HUD regulated	1 bedrooms	2	20 to 49 units	HUD regulated	881397	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01449	HUD regulated	2 bedrooms	4	20 to 49 units	HUD regulated	713297	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	HUD regulated	3 bedrooms	5	20 to 49 units	HUD regulated	780432	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01425	Stabilized pre 1947	2 bedrooms	3	20 to 49 units	Not applicable	368799	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Stabilized pre 1947	3 bedrooms	5	20 to 49 units	Not applicable	532080	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00835	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	875317	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Stabilized pre 1947	2 bedrooms	3	20 to 49 units	Not applicable	926644	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	HUD regulated	1 bedrooms	3	100 units or more	HUD regulated	967968	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	HUD regulated	1 bedrooms	2	100 units or more	HUD regulated	951875	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00775	HUD regulated	1 bedrooms	3	100 units or more	HUD regulated	322333	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00205	Public housing	1 bedrooms	3	50 to 99 units	Public Housing	126667	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00484	Public housing	1 bedrooms	3	50 to 99 units	Public Housing	854281	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00325	Public housing	No bedroom	2	50 to 99 units	Public Housing	305453	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00464	Public housing	1 bedrooms	3	50 to 99 units	Public Housing	146400	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00494	Stabilized pre 1947	2 bedrooms	4	50 to 99 units	Not applicable	507116	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00600	Stabilized pre 1947	1 bedrooms	3	4 units	Not applicable	977677	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00825	Stabilized pre 1947	1 bedrooms	3	100 units or more	Not applicable	266396	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	007413	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00600	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	151640	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Deteriorating	No	01091	Stabilized pre 1947	2 bedrooms	4	50 to 99 units	Not applicable	366890	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Mitchell Lama rental	3 bedrooms	5	50 to 99 units	Mitchell Lama City/Rental	018486	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01840	Mitchell Lama rental	4 bedrooms	7	50 to 99 units	Mitchell Lama City/Rental	305910	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00989	Mitchell Lama rental	1 bedrooms	3	50 to 99 units	Mitchell Lama City/Rental	143421	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00890	Stabilized post 1947	2 bedrooms	4	100 units or more	Not applicable	168600	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00890	Stabilized post 1947	2 bedrooms	4	50 to 99 units	Not applicable	390357	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00815	Stabilized post 1947	1 bedrooms	3	50 to 99 units	Not applicable	087217	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Stabilized post 1947	2 bedrooms	4	50 to 99 units	Not applicable	198065	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00555	Public housing	2 bedrooms	4	100 units or more	Public Housing	696467	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01150	Public housing	2 bedrooms	4	100 units or more	Public Housing	037472	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01300	Public housing	2 bedrooms	4	100 units or more	Public Housing	109586	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00610	Public housing	2 bedrooms	4	100 units or more	Public Housing	794573	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00425	Public housing	2 bedrooms	4	100 units or more	Public Housing	281026	01	N/A (renter)	Pay cash rent
